"","gender","age","trust_politicians","vote","freedom","satisfied_democracy"
"1",1,74,7,1,2,8
"2",1,17,4,NA,2,7
"3",1,54,6,1,2,7
"4",2,50,7,1,3,9
"5",1,25,6,1,2,10
"6",1,43,3,1,2,7
"7",2,45,5,2,3,10
"8",2,75,5,1,2,10
"9",2,27,8,1,1,9
"10",1,62,7,1,4,9
"11",2,38,5,NA,1,7
"12",1,50,5,2,2,3
"13",2,41,5,1,2,6
"14",1,49,4,1,1,7
"15",1,24,4,1,1,6
"16",1,18,8,NA,2,9
"17",1,67,6,1,4,9
"18",1,35,5,1,4,7
"19",1,57,6,1,2,5
"20",1,66,5,1,2,8
"21",1,73,6,1,1,9
"22",1,71,5,1,3,6
"23",2,27,4,1,1,6
"24",1,57,4,2,2,7
"25",2,56,6,2,1,8
"26",2,63,6,1,2,7
"27",1,53,5,1,2,5
"28",1,52,5,1,1,8
"29",2,73,3,1,2,5
"30",1,81,4,1,2,5
"31",2,62,2,1,2,8
"32",2,44,6,1,4,4
"33",2,79,0,1,2,2
"34",1,73,4,1,3,6
"35",1,29,6,1,2,5
"36",1,26,7,1,4,7
"37",1,51,5,1,2,8
"38",1,71,7,1,2,8
"39",1,50,3,1,1,8
"40",1,50,7,1,1,9
"41",1,28,6,1,3,8
"42",1,53,5,NA,1,9
"43",1,59,2,1,3,5
"44",1,53,3,1,1,7
"45",1,94,6,1,2,8
"46",2,42,3,1,2,8
"47",2,67,5,1,4,8
"48",2,52,4,1,2,7
"49",1,32,7,2,2,9
"50",1,49,5,1,2,8
"51",2,43,6,1,3,7
"52",2,65,6,1,2,8
"53",1,26,4,1,1,9
"54",1,62,5,1,1,5
"55",1,60,4,1,2,8
"56",2,68,6,1,3,8
"57",1,30,2,2,2,5
"58",1,46,7,1,5,6
"59",1,70,8,1,2,8
"60",2,57,4,1,1,7
"61",1,62,4,1,4,6
"62",1,68,5,1,3,8
"63",2,15,8,NA,3,9
"64",1,37,6,1,2,9
"65",2,39,8,1,3,4
"66",2,20,4,2,1,9
"67",1,78,7,1,4,9
"68",2,46,7,1,2,9
"69",2,64,5,1,2,8
"70",2,35,6,1,5,8
"71",2,28,7,1,1,7
"72",2,23,6,1,2,5
"73",2,91,5,1,2,8
"74",2,18,9,NA,4,10
"75",2,20,6,1,1,7
"76",1,41,6,2,5,5
"77",2,67,5,1,2,7
"78",1,60,5,1,1,6
"79",1,64,6,1,1,6
"80",2,69,6,1,4,7
"81",1,45,4,1,1,7
"82",1,31,8,1,5,10
